Player,Team,team_name,Elig_Pos,szn_GP_all,szn_TOI/GP_all,szn_G,szn_A,szn_SOG,szn_HIT,szn_BLK,szn_PIM,szn_FOW,l7_GP_all,l7_TOI/GP_all,l7_G,l7_A,l7_SOG,l7_HIT,l7_BLK,l7_PIM,l7_FOW,szn_GP_pp,szn_TOI/GP_pp,szn_PPP,l7_GP_pp,l7_TOI/GP_pp,l7_PPP,pos_group,T_szn_G,T_szn_A,T_szn_PPP,T_szn_SOG,T_szn_FOW,T_szn_HIT,T_szn_BLK,T_szn_PIM,T_l7_G,T_l7_A,T_l7_PPP,T_l7_SOG,T_l7_FOW,T_l7_HIT,T_l7_BLK,T_l7_PIM,Offensive_Index_szn,Banger_Index_szn,Composite_Index_szn,Offensive_Index_l7,Banger_Index_l7,Composite_Index_l7
Shayne Gostisbehere,CAR,Autodraft Anomalies,D,10,0:17:31,0.34,3.77,5.48,2.05,3.77,1.37,0.0,4.0,0:21:57,0.0,3.42,6.83,2.73,2.05,1.37,0.0,10.0,0:02:54,4.12,4.0,0:03:00,4.98,D,79,99,59,84,50,36,45,50,28,98,67,89,50,55,17,55,74.2,43.66666666666666,65.03999999999999,66.4,42.333333333333336,59.18000000000001
Mackenzie MacEachern,VAN,,,6,0:10:58,0.91,2.73,4.56,8.2,5.47,10.94,0.91,3.0,0:10:35,1.89,3.78,1.89,7.56,3.78,22.67,1.89,,,,,,,F,66,96,50,31,26,76,96,99,92,98,50,7,38,76,86,99,53.8,90.33333333333331,64.75999999999999,57.0,87.0,66.0
Adam Pelech,NYI,,,20,0:19:18,0.0,0.31,3.88,1.4,4.51,1.24,0.0,7.0,0:19:18,0.0,0.0,4.0,1.78,5.33,1.78,0.0,,,,,,,D,19,24,50,60,50,23,59,46,28,13,50,63,50,37,72,64,40.6,42.66666666666666,41.22,40.8,57.66666666666666,45.85999999999999
Jordan Martinook,CAR,,,19,0:15:10,0.42,1.04,5.2,7.28,3.33,0.83,1.87,7.0,0:15:33,0.0,0.0,3.85,7.16,2.75,1.1,3.3,,,,,,,F,32,60,50,41,37,71,81,33,15,11,50,30,50,74,75,48,44.0,61.66666666666666,49.3,31.2,65.66666666666667,41.54
Damon Severson,CBJ,,,20,0:20:00,0.15,0.75,3.6,3.45,3.0,1.2,0.0,7.0,0:19:00,0.0,1.35,3.61,3.16,2.71,0.9,0.0,20.0,0:01:00,2.97,,,,D,47,56,44,54,50,61,28,44,28,79,50,56,50,61,30,43,50.2,44.333333333333336,48.44,52.6,44.66666666666666,50.22
Colton Sissons,VGK,,,17,0:11:00,0.0,0.64,4.49,7.05,2.56,4.81,29.49,7.0,0:11:15,0.0,0.76,6.09,7.61,0.76,0.0,23.6,,,,,,,F,7,38,50,30,93,70,67,89,15,50,50,58,90,76,23,17,43.6,75.33333333333333,53.12,52.6,38.66666666666666,48.42
Teddy Blueger,VAN,,,2,0:15:49,1.9,0.0,3.79,5.69,5.69,0.0,17.06,,,,,,,,,,,,,,,,F,95,6,50,19,85,62,97,10,50,50,50,50,50,50,50,50,51.0,56.333333333333336,52.6,50.0,50.0,50.0
Jake McCabe,TOR,Trocheck Backcheck Paycheque,D,20,0:21:30,0.42,0.98,2.23,3.63,6.83,2.65,0.0,7.0,0:22:28,0.38,1.14,2.29,3.43,6.86,3.81,0.0,,,,,,,D,88,70,50,21,50,63,87,77,77,73,50,30,50,64,85,88,55.8,75.66666666666667,61.75999999999999,56.0,79.0,62.89999999999999
Jaccob Slavin,CAR,,,2,0:18:31,0.0,0.0,3.24,0.0,4.86,0.0,0.0,,,,,,,,,,,,,,,,D,19,6,50,46,50,2,65,7,50,50,50,50,50,50,50,50,34.2,24.666666666666668,31.340000000000003,50.0,50.0,50.0
Brett Kulak,EDM,,,21,0:17:56,0.0,0.32,3.82,0.48,3.98,0.32,0.0,7.0,0:16:35,0.0,0.0,3.61,0.52,7.23,0.0,0.0,,,,,,,D,19,24,50,59,50,6,49,15,28,13,50,56,50,11,87,13,40.4,23.33333333333333,35.279999999999994,39.4,37.0,38.68
Josh Anderson,MTL,,,19,0:14:53,0.64,0.64,4.24,6.15,2.55,2.12,1.7,7.0,0:15:06,1.13,1.13,3.4,6.81,3.4,3.4,1.7,,,,,,,F,49,38,50,26,35,65,67,64,76,66,50,24,36,73,83,81,39.6,65.33333333333333,47.31999999999999,50.4,79.0,58.97999999999999
Vinnie Hinostroza,MIN,,,20,0:11:26,0.52,0.79,5.24,4.98,1.31,1.05,2.88,7.0,0:11:30,0.75,0.0,5.22,4.47,0.75,0.0,5.96,,,,,,,F,40,46,50,41,46,56,29,39,60,11,50,48,64,58,23,17,44.6,41.333333333333336,43.62,46.6,32.666666666666664,42.42
Connor Brown,N.J,,,12,0:15:44,1.59,0.32,5.72,2.22,3.18,0.64,0.95,1.0,0:15:21,0.0,0.0,3.91,3.91,0.0,0.0,0.0,,,,,,,F,90,19,50,49,26,26,79,28,15,11,50,31,14,53,4,17,46.8,44.333333333333336,46.06,24.2,24.666666666666668,24.34
Ben Hutton,VGK,,,12,0:14:48,0.34,1.01,5.74,2.36,4.73,1.69,0.0,2.0,0:11:37,2.58,0.0,5.16,5.16,2.58,0.0,0.0,,,,,,,D,79,72,50,86,50,42,63,58,99,13,50,77,50,80,27,13,67.4,54.333333333333336,63.48,57.8,40.0,52.46
Liam O'Brien,UTA,,,7,0:09:19,0.92,0.0,9.19,13.78,3.68,11.03,0.0,,,,,,,,,,,,,,,,F,67,6,50,84,13,90,85,99,50,50,50,50,50,50,50,50,44.0,91.33333333333331,58.2,50.0,50.0,50.0
Kurtis MacDermid,OTT,,,8,0:04:25,0.0,0.0,3.39,13.57,6.79,27.14,0.0,3.0,0:03:44,0.0,0.0,0.0,26.75,0.0,48.14,0.0,,,,,,,F,7,6,50,14,13,90,98,99,15,11,50,1,14,98,4,99,18.0,95.66666666666669,41.3,18.2,67.0,32.84
Scott Sabourin,T.B,,,3,0:10:20,1.93,1.93,9.67,11.6,1.93,34.8,0.0,3.0,0:10:20,1.93,1.93,9.67,11.6,1.93,34.8,0.0,,,,,,,F,95,88,50,87,13,86,50,99,92,87,50,84,14,88,58,99,66.6,78.33333333333333,70.11999999999999,65.4,81.66666666666667,70.28
Nate Schmidt,UTA,,,20,0:21:07,0.0,0.85,3.83,3.26,2.13,0.28,0.0,7.0,0:21:38,0.0,1.58,2.77,3.17,1.58,0.0,0.0,20.0,0:01:46,0.0,7.0,0:01:35,0.0,D,19,63,2,59,50,58,12,14,28,85,7,40,50,61,10,13,38.6,28.0,35.42,42.0,28.0,37.8
MacKenzie Weegar,CGY,Bros before Ahos,D,21,0:24:05,0.0,0.47,5.22,6.4,4.63,3.2,0.0,7.0,0:23:14,0.0,0.0,8.48,7.37,5.16,2.58,0.0,21.0,0:02:58,1.92,7.0,0:01:56,0.0,D,19,36,27,81,50,86,61,84,28,13,7,95,50,90,70,77,42.6,77.0,52.92,38.6,79.0,50.72
Connor Clifton,PIT,,,7,0:17:12,0.0,0.0,2.99,16.43,7.97,1.99,0.0,4.0,0:16:57,0.0,0.0,3.54,15.04,6.19,1.77,0.0,,,,,,,D,19,6,50,40,50,99,93,65,28,13,50,55,50,98,81,64,33.0,85.66666666666667,48.8,39.2,81.0,51.74
Carson Soucy,NYR,,,17,0:17:36,0.2,0.4,2.41,5.41,3.81,0.8,0.0,7.0,0:20:04,0.0,0.43,1.28,5.55,4.27,0.85,0.0,,,,,,,D,57,30,50,25,50,81,46,31,28,38,50,10,50,83,58,41,42.4,52.66666666666666,45.48,35.2,60.66666666666666,42.84
Jonny Brodzinski,NYR,,,10,0:11:08,1.08,0.54,5.38,0.54,1.08,0.0,2.69,4.0,0:12:35,1.19,0.0,5.95,1.19,1.19,0.0,1.19,,,,,,,F,75,32,50,43,44,6,21,10,78,11,50,57,31,19,37,17,48.8,12.333333333333334,37.86,45.4,24.33333333333333,39.08
John Hayden,SEA,,,3,0:10:04,0.0,0.0,3.97,13.89,3.97,3.97,11.91,,,,,,,,,,,,,,,,F,7,6,50,22,79,90,88,85,50,50,50,50,50,50,50,50,32.8,87.66666666666667,49.26,50.0,50.0,50.0
Pavel Buchnevich,STL,,,20,0:18:04,0.33,0.83,5.64,2.16,1.0,1.0,0.66,7.0,0:17:28,0.0,0.49,4.42,1.47,0.98,0.98,0.0,20.0,0:02:42,4.43,7.0,0:02:16,3.78,F,26,49,61,47,22,25,19,38,15,36,60,38,14,23,30,46,41.0,27.33333333333333,36.9,32.6,33.0,32.72
Jake Guentzel,T.B,Sask Squatches,LW,19,0:20:53,1.66,1.36,8.61,1.06,1.81,0.6,7.1,7.0,0:20:54,2.46,0.82,8.2,2.05,2.46,0.0,10.66,19.0,0:04:27,4.25,7.0,0:04:37,7.41,F,92,73,60,80,67,12,46,26,96,53,81,76,77,31,70,17,74.4,28.0,60.48,76.6,39.333333333333336,65.41999999999999
Mattias Janmark,EDM,,,5,0:10:53,0.0,0.0,2.2,1.1,0.0,2.2,1.1,5.0,0:10:53,0.0,0.0,2.2,1.1,0.0,2.2,1.1,,,,,,,F,7,6,50,3,28,12,1,65,15,11,50,9,30,18,4,68,18.8,26.0,20.96,23.0,30.0,25.1
Anthony Duclair,NYI,,,20,0:13:10,0.68,0.91,5.24,0.23,3.19,0.91,0.23,7.0,0:11:13,0.0,2.29,2.29,0.76,3.05,0.0,0.76,,,,,,,F,52,53,50,41,16,3,79,36,15,91,50,10,25,13,79,17,42.4,39.333333333333336,41.48,38.2,36.333333333333336,37.64
Carter Verhaeghe,FLA,Dan's Dazzling Team,LW,19,0:17:55,0.35,1.41,7.93,3.0,1.06,1.06,1.94,7.0,0:17:26,0.0,1.97,7.37,4.92,1.47,1.97,2.46,19.0,0:02:56,4.3,7.0,0:04:03,4.22,F,27,75,60,75,37,36,21,40,15,87,64,70,44,61,46,65,54.8,32.333333333333336,48.06,56.0,57.333333333333336,56.39999999999999
Oliver Bjorkstrand,T.B,,,19,0:14:37,0.22,1.29,6.91,3.67,2.16,0.43,0.86,7.0,0:16:10,0.0,2.12,8.48,3.71,3.71,0.0,0.0,19.0,0:03:27,2.73,7.0,0:04:12,4.08,F,18,71,40,64,25,44,56,21,15,89,63,78,14,51,86,17,43.6,40.333333333333336,42.62,51.8,51.333333333333336,51.66
Mason Geertsen,BUF,,,5,0:04:07,0.0,0.0,2.91,23.3,0.0,34.95,0.0,,,,,,,,,,,,,,,,F,7,6,50,9,13,97,1,99,50,50,50,50,50,50,50,50,17.0,65.66666666666667,31.6,50.0,50.0,50.0
Miles Wood,CBJ,,,14,0:12:24,1.73,0.0,8.98,3.45,1.73,1.38,0.35,6.0,0:13:49,0.72,0.0,7.95,1.45,2.89,1.45,0.0,,,,,,,F,93,6,50,83,18,41,43,48,58,11,50,74,14,23,77,56,50.0,44.0,48.2,41.4,52.0,44.58
Andrew Copp,DET,,,20,0:14:31,0.21,1.45,4.55,2.69,3.93,2.07,16.74,7.0,0:13:33,0.0,1.9,5.69,1.26,3.79,1.26,24.65,,,,,,,F,18,76,50,30,85,32,88,63,15,86,50,54,91,20,87,52,51.8,61.0,54.56,59.2,53.0,57.34
Ryan Graves,PIT,,,5,0:16:30,0.73,0.0,6.55,2.91,8.0,2.91,0.0,5.0,0:16:30,0.73,0.0,6.55,2.91,8.0,2.91,0.0,,,,,,,D,99,6,50,92,50,52,93,81,95,13,50,88,50,57,91,80,59.4,75.33333333333333,64.17999999999999,59.2,76.0,64.24
Andre Burakovsky,CHI,,,17,0:17:44,1.39,1.59,5.17,1.19,1.59,1.19,0.0,6.0,0:18:57,1.58,1.58,5.8,0.53,2.64,0.0,0.0,17.0,0:02:23,7.37,6.0,0:03:22,2.96,F,86,80,82,40,13,13,38,43,87,80,52,55,14,10,73,17,60.2,31.33333333333333,51.54,57.6,33.333333333333336,50.32
Michael McCarron,NSH,,,20,0:14:32,0.21,0.62,3.92,10.73,3.3,3.3,30.75,7.0,0:14:00,0.0,0.61,2.45,11.02,2.45,0.0,34.28,,,,,,,F,18,36,50,21,93,84,81,79,15,43,50,12,94,87,69,17,43.6,81.33333333333333,54.92,42.8,57.66666666666666,47.25999999999999
Shea Theodore,VGK,Hughes your daddy,D,19,0:24:06,0.26,0.92,5.5,0.13,4.06,0.52,0.0,7.0,0:23:50,0.72,0.72,6.83,0.36,2.16,0.72,0.0,19.0,0:02:19,5.43,7.0,0:01:57,8.76,D,68,67,71,84,50,3,51,22,95,54,83,89,50,9,19,37,68.0,25.33333333333333,55.2,74.2,21.666666666666668,58.44
Jason Dickinson,CHI,,,8,0:14:16,0.53,1.05,5.25,3.15,3.15,1.05,35.73,,,,,,,,,,,,,,,,F,41,60,50,41,94,38,78,39,50,50,50,50,50,50,50,50,57.2,51.66666666666666,55.54,50.0,50.0,50.0
Ryan Hartman,MIN,,,20,0:15:58,0.75,0.56,7.7,3.57,3.57,1.13,21.02,7.0,0:15:21,0.0,0.56,2.79,4.47,3.91,1.12,20.66,20.0,0:02:03,1.46,7.0,0:02:04,0.0,F,56,33,20,73,89,42,84,42,15,40,8,16,88,58,88,49,54.2,56.0,54.74,33.4,65.0,42.88
Adam Erne,DAL,,,14,0:09:37,0.89,0.45,4.9,19.6,3.12,0.89,0.89,4.0,0:08:27,1.77,0.0,7.09,15.96,1.77,0.0,0.0,,,,,,,F,65,26,50,36,25,96,78,35,90,11,50,68,14,93,54,17,40.4,69.66666666666667,49.18,46.6,54.66666666666666,49.02
J.T. Compher,DET,,,20,0:16:23,0.55,0.55,4.21,1.46,1.65,0.37,20.14,7.0,0:15:47,0.54,0.0,5.97,2.71,0.54,0.0,23.34,,,,,,,F,42,32,50,25,88,16,41,20,48,11,50,57,90,40,17,17,47.4,25.666666666666668,40.88,51.2,24.666666666666668,43.24
Steven Santini,T.B,,,1,0:12:37,0.0,0.0,4.76,9.51,0.0,0.0,0.0,1.0,0:12:37,0.0,0.0,4.76,9.51,0.0,0.0,0.0,,,,,,,D,19,6,50,75,50,95,1,7,28,13,50,73,50,95,1,13,40.0,34.333333333333336,38.3,42.8,36.333333333333336,40.86
Artturi Lehkonen,COL,Jagrbombs,LW;RW,19,0:19:37,1.29,1.61,8.53,1.45,2.9,0.32,0.0,7.0,0:20:01,1.71,1.28,9.41,1.28,2.57,0.86,0.0,,,,7.0,0:03:04,5.59,F,83,81,50,80,13,16,74,18,89,72,73,83,14,20,72,43,61.4,36.0,53.78,66.2,45.0,59.84
William Carrier,CAR,,,13,0:11:00,0.42,1.68,4.19,11.73,1.26,0.84,0.0,6.0,0:11:49,0.0,1.69,3.38,11.84,1.69,0.0,0.0,,,,,,,F,32,83,50,25,13,87,27,33,15,82,50,23,14,88,52,17,40.6,49.0,43.12,36.8,52.333333333333336,41.46
Tyler Bertuzzi,CHI,Bar Down Beauties,LW;RW;IR+,16,0:17:33,1.92,1.28,7.69,3.63,0.21,4.7,3.84,5.0,0:19:14,3.74,1.25,9.36,2.49,0.62,3.74,1.87,16.0,0:02:42,11.05,5.0,0:02:51,20.98,F,95,70,92,73,52,43,2,89,99,71,97,82,38,37,19,83,76.4,44.66666666666666,66.88,77.4,46.333333333333336,68.08
Brett Pesce,N.J,,,9,0:19:39,0.0,1.02,2.71,1.36,8.14,0.68,0.0,,,,,,,,,,,,,,,,D,19,72,50,33,50,22,93,27,50,50,50,50,50,50,50,50,44.8,47.333333333333336,45.56,50.0,50.0,50.0
Nathan MacKinnon,COL,Trocheck Backcheck Paycheque,C,19,0:21:27,2.06,2.8,12.66,2.5,1.91,1.77,29.73,7.0,0:21:04,2.03,4.07,14.24,2.03,2.03,1.63,27.26,19.0,0:05:02,5.64,7.0,0:04:48,7.13,F,96,96,72,96,93,30,49,57,93,99,80,95,92,31,61,59,90.6,45.333333333333336,77.02,91.8,50.333333333333336,79.35999999999999
Jonathan Drouin,NYI,,,19,0:18:01,0.53,1.93,4.2,0.7,1.4,2.98,3.68,7.0,0:18:39,0.92,2.3,3.67,0.0,1.38,0.0,5.51,19.0,0:03:54,2.42,7.0,0:03:16,5.24,F,41,88,35,25,51,8,32,76,68,91,71,27,62,4,43,17,48.0,38.66666666666666,45.2,63.8,21.33333333333333,51.06
Seth Jones,FLA,The Epstein Islanders,D,19,0:23:39,0.4,1.07,4.54,3.07,3.07,1.34,0.0,7.0,0:23:46,1.08,0.72,6.13,2.88,4.33,0.72,0.0,19.0,0:04:17,5.9,7.0,0:04:35,9.32,D,86,75,75,72,50,55,30,49,99,54,84,85,50,57,59,37,71.6,44.66666666666666,63.51999999999999,74.4,51.0,67.38
Elias Lindholm,BOS,Bros before Ahos,C;IR;IR+,13,0:17:41,1.04,1.3,5.74,4.96,3.65,2.09,34.17,,,,,,,,,,13.0,0:03:27,9.34,,,,F,73,71,89,49,94,56,85,63,50,50,50,50,50,50,50,50,75.2,68.0,73.03999999999999,50.0,50.0,50.0
Sean Monahan,CBJ,Hughes your daddy,C,20,0:18:19,0.33,1.15,5.57,1.64,0.33,0.66,33.58,7.0,0:18:42,0.46,0.92,2.75,0.92,0.46,0.92,33.9,20.0,0:02:43,4.39,7.0,0:02:58,2.89,F,26,65,61,46,94,19,4,28,43,58,51,15,94,15,14,44,58.4,17.0,45.98,52.2,24.33333333333333,43.84
Darnell Nurse,EDM,Bros before Ahos,D,21,0:20:58,0.41,0.54,6.4,4.63,7.63,1.63,0.0,7.0,0:21:12,0.0,0.0,5.66,3.23,7.68,2.42,0.0,,,,,,,D,87,41,50,91,50,74,91,57,28,13,50,82,50,62,89,75,63.8,74.0,66.86,44.6,75.33333333333333,53.81999999999999
Bo Horvat,NYI,Sask Squatches,C,20,0:20:37,1.89,1.6,9.75,2.04,0.87,2.91,31.42,7.0,0:19:28,1.76,2.2,9.68,2.64,1.32,6.16,30.36,20.0,0:03:56,6.08,7.0,0:03:07,8.24,F,95,81,75,87,93,24,15,75,90,90,83,84,93,39,41,93,86.2,38.0,71.74,88.0,57.66666666666666,78.89999999999999
Valeri Nichushkin,COL,Autodraft Anomalies,LW;RW;IR+,17,0:17:59,0.98,1.37,8.05,3.14,0.78,0.78,0.2,5.0,0:17:30,0.0,2.74,6.17,2.06,0.69,1.37,0.0,17.0,0:02:54,3.64,5.0,0:03:33,3.37,F,70,74,52,76,16,38,13,32,15,95,56,59,14,31,21,54,57.6,27.666666666666668,48.620000000000005,47.8,35.333333333333336,44.06
Max Domi,TOR,,,20,0:12:58,0.69,0.69,7.86,2.31,2.77,3.24,19.42,7.0,0:13:01,0.0,1.32,5.26,2.63,1.97,3.95,24.35,20.0,0:01:29,4.04,7.0,0:01:58,8.69,F,52,41,57,74,87,27,71,79,15,73,85,49,90,39,59,84,62.2,59.0,61.24,62.4,60.66666666666666,61.88
Josh Morrissey,WPG,Bar Down Beauties,D,19,0:24:22,0.52,2.2,4.28,1.43,5.05,0.78,0.0,7.0,0:24:00,1.07,2.5,4.64,1.43,5.36,0.0,0.0,19.0,0:03:13,5.87,7.0,0:02:58,11.49,D,94,97,75,68,50,23,68,31,99,95,89,72,50,30,73,13,76.8,40.66666666666666,65.96,81.0,38.66666666666666,68.3
Alexander Wennberg,S.J,,,20,0:20:41,0.72,0.87,2.9,0.72,3.48,0.58,21.02,7.0,0:20:36,0.83,0.42,2.91,0.83,3.33,1.66,21.21,20.0,0:03:03,3.93,7.0,0:03:48,2.25,F,54,51,56,8,89,8,83,26,64,32,43,17,89,14,82,60,51.6,39.0,47.81999999999999,49.0,52.0,49.9
Ryan Pulock,NYI,,,20,0:20:11,0.0,1.19,3.12,2.08,4.61,0.3,0.0,7.0,0:21:15,0.0,1.21,3.22,1.21,3.63,0.81,0.0,,,,,,,D,19,80,50,43,50,37,61,15,28,75,50,49,50,25,47,40,48.4,37.66666666666666,45.17999999999999,50.4,37.333333333333336,46.48
Nikita Zadorov,BOS,Trocheck Backcheck Paycheque,D,21,0:21:18,0.13,0.54,2.82,9.52,4.29,5.9,0.0,7.0,0:20:55,0.0,0.41,4.5,6.55,4.5,11.46,0.0,,,,,,,D,43,41,50,35,50,95,55,97,28,36,50,70,50,88,62,99,43.8,82.33333333333333,55.36,46.8,83.0,57.66
Curtis Lazar,EDM,,,9,0:09:33,0.7,0.0,2.09,13.24,3.48,1.39,13.24,5.0,0:09:11,0.0,0.0,1.3,13.05,2.61,2.61,16.96,,,,,,,F,53,6,50,3,81,89,83,48,15,11,50,3,86,90,72,73,38.6,73.33333333333333,49.02,33.0,78.33333333333333,46.6
Anthony Mantha,PIT,,,19,0:14:43,1.72,1.29,7.29,1.93,2.57,1.07,0.21,7.0,0:14:04,1.22,0.61,6.7,1.83,2.44,3.04,0.0,19.0,0:01:03,5.99,,,,F,93,71,74,69,16,22,67,40,79,43,50,64,14,28,69,78,64.6,43.0,58.11999999999999,50.0,58.333333333333336,52.5
Ross Johnston,ANA,,,18,0:09:02,0.37,1.11,2.21,19.15,1.84,16.94,0.37,7.0,0:08:55,0.0,0.0,2.88,22.08,0.96,16.32,0.0,,,,,,,F,29,63,50,3,18,95,47,99,15,11,50,17,14,97,30,99,32.6,80.33333333333333,46.92,21.4,75.33333333333333,37.58
Dakota Mermis,TOR,,,5,0:12:55,0.0,0.0,1.86,3.71,0.93,0.0,0.0,4.0,0:12:51,0.0,0.0,1.17,4.67,1.17,0.0,0.0,,,,,,,D,19,6,50,13,50,64,1,7,28,13,50,8,50,77,5,13,27.6,24.0,26.52,29.8,31.666666666666668,30.36
Nathan Walker,STL,,,19,0:12:44,0.74,0.74,5.7,18.58,3.47,2.97,4.71,7.0,0:13:04,1.31,0.0,4.59,21.64,4.59,3.93,3.28,,,,,,,F,56,43,50,48,57,95,83,76,81,11,50,40,50,96,92,84,50.8,84.66666666666667,60.96,46.4,90.66666666666669,59.67999999999999
Joel Hanley,CGY,,,18,0:16:48,0.0,0.6,2.38,2.78,4.96,2.18,0.0,4.0,0:18:31,0.0,0.81,3.24,2.43,0.81,5.67,0.0,,,,,,,D,19,46,50,24,50,50,67,69,28,59,50,49,50,50,2,95,37.8,62.0,45.06,47.2,49.0,47.74
Conor Sheary,NYR,,,21,0:14:50,0.0,0.96,5.78,1.73,2.31,0.77,1.54,7.0,0:13:06,0.0,0.65,7.19,3.27,2.62,1.31,1.96,21.0,0:01:00,2.83,,,,F,7,56,41,49,33,20,61,31,15,45,50,69,39,46,72,53,37.2,37.333333333333336,37.24,43.6,57.0,47.62
Trevor van Riemsdyk,WSH,,,15,0:14:55,0.27,0.27,2.41,0.8,4.55,2.68,0.0,5.0,0:15:47,0.0,0.76,0.76,1.52,5.32,4.56,0.0,,,,,,,D,70,21,50,25,50,11,60,78,28,56,50,4,50,32,72,91,43.2,49.66666666666666,45.14,37.6,65.0,45.82
Garnet Hathaway,PHI,,,18,0:09:54,0.0,0.0,2.69,23.2,4.04,6.39,1.35,7.0,0:10:06,0.0,0.0,1.7,28.82,2.54,5.09,0.0,,,,,,,F,7,6,50,7,31,97,89,94,15,11,50,5,14,98,71,89,20.2,93.33333333333331,42.13999999999999,19.0,86.0,39.1
Frederic Gaudreau,SEA,,,6,0:13:37,0.0,0.73,4.4,1.47,4.4,1.47,24.21,2.0,0:15:09,0.0,0.0,5.94,0.0,1.98,3.96,29.69,,,,,,,F,7,43,50,28,90,17,91,50,15,11,50,56,93,4,59,84,43.6,52.66666666666666,46.32,45.0,49.0,46.2
Aaron Ekblad,FLA,Bros before Ahos,D,19,0:22:46,0.14,0.55,4.3,3.05,3.6,1.66,0.0,7.0,0:21:14,0.0,0.81,4.44,3.63,3.63,2.42,0.0,19.0,0:02:57,1.07,7.0,0:02:41,0.0,D,45,42,13,68,50,54,41,58,28,59,7,69,50,67,47,75,43.6,51.0,45.82,42.6,63.0,48.72
Sam Reinhart,FLA,P Diddlers,C;RW,19,0:21:27,1.47,0.88,7.95,2.94,2.5,0.29,3.09,7.0,0:21:12,1.62,2.02,7.28,2.43,2.83,0.0,1.21,19.0,0:04:28,4.94,7.0,0:04:43,9.06,F,88,51,66,75,47,35,65,17,88,88,86,69,31,36,76,17,65.4,39.0,57.48,72.4,43.0,63.58
Leon Draisaitl,EDM,Bar Down Beauties,C;LW,21,0:22:25,1.66,1.4,6.63,1.4,0.64,0.76,24.47,7.0,0:22:27,1.53,1.53,5.34,1.53,0.76,1.53,27.47,21.0,0:03:15,9.67,7.0,0:02:41,9.57,F,92,75,90,61,90,16,9,31,86,79,87,50,92,24,23,57,81.6,18.666666666666668,62.71999999999999,78.8,34.666666666666664,65.56
Sam Bennett,FLA,Jagrbombs,C,19,0:16:49,0.75,0.56,7.13,7.13,1.13,4.51,23.28,7.0,0:15:56,1.08,1.08,6.99,8.07,0.54,7.53,23.13,19.0,0:03:01,2.09,7.0,0:02:34,3.34,F,56,33,30,67,90,71,23,88,74,65,56,67,90,78,17,95,55.2,60.66666666666666,56.84,70.4,63.333333333333336,68.28
Haydn Fleury,WPG,,,15,0:14:52,0.0,0.0,2.96,5.92,6.99,1.61,0.0,4.0,0:12:34,0.0,0.0,1.19,4.77,10.74,2.39,0.0,,,,,,,D,19,6,50,39,50,84,88,56,28,13,50,9,50,78,97,74,32.8,76.0,45.76,30.0,83.0,45.9
William Nylander,TOR,Jagrbombs,C;RW,17,0:20:12,1.57,3.14,6.29,0.35,1.22,1.75,1.92,7.0,0:21:23,1.6,2.0,6.81,0.0,1.6,2.4,0.8,17.0,0:03:15,4.32,7.0,0:03:46,4.55,F,90,98,60,57,37,4,26,56,88,88,66,65,26,4,50,71,68.4,28.666666666666668,56.48,66.6,41.66666666666666,59.11999999999999
Nikolaj Ehlers,CAR,Dan's Dazzling Team,LW;RW,19,0:16:11,0.78,1.56,10.73,1.17,0.78,1.17,1.17,7.0,0:14:50,1.73,2.31,12.13,0.58,0.58,0.0,0.58,19.0,0:03:07,4.05,7.0,0:03:07,8.21,F,58,80,57,91,29,13,13,43,90,92,83,92,23,10,18,17,63.0,23.0,50.99999999999999,76.0,15.0,57.7
Kevin Fiala,L.A,Autodraft Anomalies,LW,20,0:18:49,1.43,0.96,10.2,1.75,1.27,1.27,0.16,7.0,0:19:32,1.75,0.88,8.77,0.88,1.75,0.88,0.44,20.0,0:03:33,5.89,7.0,0:03:57,6.51,F,87,56,74,89,15,20,28,45,90,56,77,79,21,15,54,43,64.2,31.0,54.24,64.6,37.333333333333336,56.42
Dylan Larkin,DET,Jagrbombs,C,20,0:20:36,1.75,1.75,10.04,1.16,1.16,1.46,34.06,7.0,0:20:36,1.66,0.83,13.31,0.83,0.83,0.83,35.76,20.0,0:03:58,3.77,7.0,0:04:21,0.0,F,93,84,54,88,94,13,24,50,89,54,8,94,94,14,26,42,82.6,29.0,66.52,67.8,27.33333333333333,55.66
Sonny Milano,WSH,,,8,0:10:57,0.68,0.0,9.59,2.05,1.37,1.37,2.05,2.0,0:12:24,0.0,0.0,9.68,0.0,4.84,4.84,4.84,8.0,0:01:49,0.0,,,,F,52,6,2,86,38,24,31,48,15,11,50,84,59,4,93,89,36.8,34.333333333333336,36.06,43.8,62.0,49.25999999999999
Travis Sanheim,PHI,,,18,0:25:35,0.13,0.65,2.99,1.95,4.69,1.04,0.0,7.0,0:24:34,0.0,0.7,4.18,2.09,4.18,1.39,0.0,,,,,,,D,43,49,50,40,50,34,62,39,28,53,50,65,50,43,57,56,46.4,45.0,45.98,49.2,52.0,50.04
Alex Tuch,BUF,Bros before Ahos,RW,19,0:18:48,1.18,1.51,7.55,1.68,3.53,5.2,0.67,7.0,0:18:12,0.94,0.94,7.06,3.3,2.83,0.94,0.47,19.0,0:01:55,0.0,7.0,0:01:28,0.0,F,79,78,2,71,23,19,84,91,69,59,8,67,21,46,76,45,50.6,64.66666666666667,54.82000000000001,44.8,55.66666666666666,48.06
